grupo_variables,antecedente,consecuente,support,confidence,lift
"('motivation_score', 'placement_anxiety_score', 'seeks_career_counseling')",motivation_score=bajo + placement_anxiety_score=alto + seeks_career_counseling=si,burnout_cat=alto,0.08696825254069611,0.7608182533438238,2.215698836807223
"('internship_experience', 'stress_level')",internship_experience=1 + stress_level=alto,burnout_cat=alto,0.043978775069700514,0.7581395348837209,2.207897718274513
"('stress_level', 'uses_ai_for_assignments')",stress_level=alto + uses_ai_for_assignments=sometimes,burnout_cat=alto,0.039841712384207216,0.7572649572649574,2.205350722846794
"('career_clarity_score', 'stress_level')",career_clarity_score=bajo + stress_level=alto,burnout_cat=alto,0.04164043529094343,0.7528455284552845,2.19248020714885
"('daily_ai_tool_usage_hrs', 'interview_anxiety_score', 'motivation_score')",daily_ai_tool_usage_hrs=alto + interview_anxiety_score=alto + motivation_score=bajo,burnout_cat=alto,0.06763198129328177,0.7497507477567298,2.18346740814748
"('stream', 'stress_level')",stream=cs/it + stress_level=alto,burnout_cat=alto,0.06970051263602842,0.7473481195756991,2.1764703356632262
"('resume_confidence_score', 'stress_level')",resume_confidence_score=bajo + stress_level=alto,burnout_cat=alto,0.07887399946038313,0.7463829787234043,2.1736595967589136
"('social_media_hrs_per_day', 'stress_level')",social_media_hrs_per_day=alto + stress_level=alto,burnout_cat=alto,0.03669394729741883,0.7458866544789762,2.1722141726431996
"('fear_of_job_loss_to_ai', 'stress_level')",fear_of_job_loss_to_ai=alto + stress_level=alto,burnout_cat=alto,0.10630452378811044,0.7415307402760352,2.159528627849459
"('daily_ai_tool_usage_hrs', 'placement_anxiety_score', 'seeks_career_counseling')",daily_ai_tool_usage_hrs=alto + placement_anxiety_score=alto + seeks_career_counseling=si,burnout_cat=alto,0.056479899271517225,0.7414403778040143,2.159265469042125
"('ai_dependency_score', 'seeks_career_counseling')",ai_dependency_score=alto + seeks_career_counseling=si,burnout_cat=alto,0.0737476391761849,0.739404869251578,2.153337543532817
"('fear_of_job_loss_to_ai', 'motivation_score', 'uses_ai_for_assignments')",fear_of_job_loss_to_ai=alto + motivation_score=bajo + uses_ai_for_assignments=frequently,burnout_cat=alto,0.03885241478550229,0.7384615384615384,2.150590321150824
"('interview_anxiety_score', 'stress_level')",interview_anxiety_score=alto + stress_level=alto,burnout_cat=alto,0.10288695026531162,0.7356913183279743,2.142522726162584
"('daily_ai_tool_usage_hrs', 'interview_anxiety_score', 'seeks_career_counseling')",daily_ai_tool_usage_hrs=alto + interview_anxiety_score=alto + seeks_career_counseling=si,burnout_cat=alto,0.05701951614353809,0.7321016166281756,2.1320685896513054
"('fear_of_job_loss_to_ai', 'motivation_score', 'sleep_hours')",fear_of_job_loss_to_ai=alto + motivation_score=bajo + sleep_hours=bajo,burnout_cat=alto,0.0364241388614084,0.7310469314079422,2.1289970744695936
"('placement_anxiety_score', 'stress_level')",placement_anxiety_score=alto + stress_level=alto,burnout_cat=alto,0.10315675870132206,0.7305732484076434,2.127617587492034
"('interview_anxiety_score', 'motivation_score', 'sleep_hours')",interview_anxiety_score=alto + motivation_score=bajo + sleep_hours=bajo,burnout_cat=alto,0.03237701232125191,0.728744939271255,2.12229308008305
"('motivation_score', 'seeks_career_counseling')",motivation_score=bajo + seeks_career_counseling=si,burnout_cat=alto,0.11862577569925353,0.7243272926963207,2.109427754711993
"('ai_replaces_own_thinking_score', 'placement_anxiety_score', 'seeks_career_counseling')",ai_replaces_own_thinking_score=medio + placement_anxiety_score=alto + seeks_career_counseling=si,burnout_cat=alto,0.07086968252540696,0.7235996326905417,2.1073086212378556
"('degree_type', 'stress_level')",degree_type=b.sc/b.a/b.com + stress_level=alto,burnout_cat=alto,0.03858260634949186,0.7222222222222222,2.10329724695885
"('stress_level', 'weekly_job_application_count')",stress_level=alto + weekly_job_application_count=alto,burnout_cat=alto,0.1084629912761939,0.7208607292289301,2.0993322284694798
"('college_tier', 'stress_level')",college_tier=tier_3 + stress_level=alto,burnout_cat=alto,0.07077974638007015,0.7193784277879341,2.0950153846448507
"('motivation_score', 'placement_anxiety_score', 'sleep_hours')",motivation_score=bajo + placement_anxiety_score=alto + sleep_hours=bajo,burnout_cat=alto,0.03012860868783164,0.7173447537473233,2.0890928017067805
"('ai_dependency_score', 'placement_anxiety_score', 'social_media_hrs_per_day')",ai_dependency_score=alto + placement_anxiety_score=alto + social_media_hrs_per_day=alto,burnout_cat=alto,0.030848097850526127,0.7160751565762004,2.085395407535561
"('sleep_hours', 'stress_level')",sleep_hours=bajo + stress_level=alto,burnout_cat=alto,0.03687381958809245,0.7142857142857143,2.0801840903988627
"('ai_replaces_own_thinking_score', 'interview_anxiety_score', 'seeks_career_counseling')",ai_replaces_own_thinking_score=medio + interview_anxiety_score=alto + seeks_career_counseling=si,burnout_cat=alto,0.0729382138681536,0.7132805628847845,2.0772568304651435
"('daily_ai_tool_usage_hrs', 'fear_of_job_loss_to_ai', 'seeks_career_counseling')",daily_ai_tool_usage_hrs=alto + fear_of_job_loss_to_ai=alto + seeks_career_counseling=si,burnout_cat=alto,0.06565338609587193,0.7121951219512195,2.0740957467196464
"('fear_of_job_loss_to_ai', 'seeks_career_counseling', 'sleep_hours')",fear_of_job_loss_to_ai=alto + seeks_career_counseling=si + sleep_hours=bajo,burnout_cat=alto,0.03102797014119975,0.711340206185567,2.071606011675568
"('ai_replaces_own_thinking_score', 'daily_ai_tool_usage_hrs', 'seeks_career_counseling')",ai_replaces_own_thinking_score=medio + daily_ai_tool_usage_hrs=alto + seeks_career_counseling=si,burnout_cat=alto,0.058728302904937496,0.7097826086956521,2.0670698863506956
"('ai_dependency_score', 'motivation_score')",ai_dependency_score=alto + motivation_score=bajo,burnout_cat=alto,0.09587193092904038,0.7064280980781975,2.057300686886191
"('daily_ai_tool_usage_hrs', 'fear_of_job_loss_to_ai', 'motivation_score')",daily_ai_tool_usage_hrs=alto + fear_of_job_loss_to_ai=alto + motivation_score=bajo,burnout_cat=alto,0.0811224030938034,0.706342991386061,2.057052834264435
"('daily_ai_tool_usage_hrs', 'degree_type', 'seeks_career_counseling')",daily_ai_tool_usage_hrs=alto + degree_type=b.tech/b.e. + seeks_career_counseling=si,burnout_cat=alto,0.03426567137332494,0.7055555555555555,2.0547596181828762
"('fear_of_job_loss_to_ai', 'seeks_career_counseling', 'uses_ai_for_assignments')",fear_of_job_loss_to_ai=alto + seeks_career_counseling=si + uses_ai_for_assignments=frequently,burnout_cat=alto,0.03030848097850526,0.7050209205020921,2.053202623117538
"('ai_replaces_own_thinking_score', 'motivation_score', 'placement_anxiety_score')",ai_replaces_own_thinking_score=medio + motivation_score=bajo + placement_anxiety_score=alto,burnout_cat=alto,0.08705818868603292,0.7045123726346434,2.051721600661236
"('placement_anxiety_score', 'seeks_career_counseling', 'stream')",placement_anxiety_score=alto + seeks_career_counseling=si + stream=cs/it,burnout_cat=alto,0.0720388524147855,0.704485488126649,2.0516433060451047
"('daily_ai_tool_usage_hrs', 'daily_study_hours', 'seeks_career_counseling')",daily_ai_tool_usage_hrs=alto + daily_study_hours=bajo + seeks_career_counseling=si,burnout_cat=alto,0.03768324489612375,0.7042016806722688,2.050816785593231
"('daily_ai_tool_usage_hrs', 'seeks_career_counseling', 'stream')",daily_ai_tool_usage_hrs=alto + seeks_career_counseling=si + stream=cs/it,burnout_cat=alto,0.058548430614263874,0.7037837837837838,2.049599762150836
"('ai_dependency_score', 'daily_ai_tool_usage_hrs', 'stress_level')",ai_dependency_score=medio + daily_ai_tool_usage_hrs=medio + stress_level=alto,burnout_cat=alto,0.0330965014839464,0.7036328871892925,2.049160312377617
"('motivation_score', 'placement_anxiety_score', 'stream')",motivation_score=bajo + placement_anxiety_score=alto + stream=cs/it,burnout_cat=alto,0.07842431873369908,0.7032258064516129,2.0479747883539767
"('daily_ai_tool_usage_hrs', 'resume_confidence_score', 'seeks_career_counseling')",daily_ai_tool_usage_hrs=alto + resume_confidence_score=bajo + seeks_career_counseling=si,burnout_cat=alto,0.04919507149923554,0.7021822849807445,2.0449357848876106
"('ai_replaces_own_thinking_score', 'seeks_career_counseling', 'stream')",ai_replaces_own_thinking_score=medio + seeks_career_counseling=si + stream=cs/it,burnout_cat=alto,0.06322511017177804,0.7015968063872255,2.0432307203299005
